time	V(inp)	V(out)
0.000000000000000e+000	0.000000e+000	7.999762e-001
2.050781247099439e-017	1.640625e-007	7.999763e-001
4.101562494198877e-017	3.281250e-007	7.999763e-001
8.203124988397754e-017	6.562500e-007	7.999765e-001
1.640624997679551e-016	1.312500e-006	7.999769e-001
3.281249995359102e-016	2.625000e-006	7.999775e-001
6.562499990718203e-016	5.250000e-006	7.999786e-001
1.312499998143641e-015	1.050000e-005	7.999805e-001
2.624999996287281e-015	2.100000e-005	7.999842e-001
5.249999992574563e-015	4.200000e-005	7.999915e-001
1.049999998514913e-014	8.400000e-005	8.000073e-001
2.099999997029825e-014	1.680000e-004	8.000406e-001
8.399999988119300e-014	6.720000e-004	8.002325e-001
1.679999997623860e-013	1.344000e-003	8.004605e-001
3.359999995247720e-013	2.688000e-003	8.008384e-001
6.719999990495440e-013	5.376000e-003	8.013735e-001
1.343999998099088e-012	1.075200e-002	8.019599e-001
2.687999996198176e-012	2.150400e-002	8.024107e-001
4.738781246198177e-012	3.791025e-002	8.025956e-001
6.789562496198177e-012	5.431650e-002	8.026528e-001
8.840343746198178e-012	7.072275e-002	8.026955e-001
1.089112499619818e-011	8.712900e-002	8.027242e-001
1.294190624619818e-011	1.035352e-001	8.027260e-001
1.499268749619818e-011	1.199415e-001	8.026832e-001
1.704346874619818e-011	1.363478e-001	8.025683e-001
1.909424999619818e-011	1.527540e-001	8.023406e-001
2.114503124619818e-011	1.691602e-001	8.019394e-001
2.319581249619818e-011	1.855665e-001	8.012748e-001
2.524659374619817e-011	2.019728e-001	8.002297e-001
2.729737499619817e-011	2.183790e-001	7.986258e-001
2.934815624619818e-011	2.347852e-001	7.961729e-001
3.139893749619818e-011	2.511915e-001	7.924816e-001
3.344971874619817e-011	2.675978e-001	7.870594e-001
3.550049999619817e-011	2.840040e-001	7.792698e-001
3.755128124619817e-011	3.004102e-001	7.683084e-001
3.960206249619817e-011	3.168165e-001	7.531607e-001
4.165284374619817e-011	3.332227e-001	7.325830e-001
4.370362499619817e-011	3.496290e-001	7.053172e-001
4.575440624619817e-011	3.660353e-001	6.706656e-001
4.780518749619817e-011	3.824415e-001	6.289561e-001
4.985596874619817e-011	3.988478e-001	5.813197e-001
5.190674999619816e-011	4.152540e-001	5.290671e-001
5.395753124619816e-011	4.316603e-001	4.733003e-001
5.600831249619816e-011	4.480665e-001	4.148712e-001
5.805909374619816e-011	4.644727e-001	3.545128e-001
6.010987499619816e-011	4.808790e-001	2.930009e-001
6.216065624619816e-011	4.972852e-001	2.312817e-001
6.421143749619816e-011	5.136915e-001	1.708234e-001
6.626221874619816e-011	5.300977e-001	1.149882e-001
6.831299999619816e-011	5.465040e-001	6.983910e-002
7.036378124619816e-011	5.629103e-001	4.012245e-002
7.241456249619815e-011	5.793165e-001	2.414593e-002
7.446534374619815e-011	5.957227e-001	1.601935e-002
7.651612499619815e-011	6.121290e-001	1.131005e-002
7.856690624619815e-011	6.285353e-001	8.238146e-003
8.061768749619815e-011	6.449415e-001	6.164394e-003
8.266846874619815e-011	6.613477e-001	4.757042e-003
8.471924999619815e-011	6.777540e-001	3.798618e-003
8.677003124619815e-011	6.941602e-001	3.143541e-003
8.882081249619815e-011	7.105665e-001	2.694448e-003
9.087159374619815e-011	7.269728e-001	2.384687e-003
9.292237499619814e-011	7.433790e-001	2.168991e-003
9.497315624619814e-011	7.597852e-001	2.016891e-003
9.702393749619814e-011	7.761915e-001	1.907836e-003
9.907471874619814e-011	7.925978e-001	1.825551e-003
1.000000000000000e-010	8.000000e-001	1.795007e-003
1.002050781250000e-010	8.000000e-001	1.432222e-003
1.006152343750000e-010	8.000000e-001	9.073119e-004
1.014355468750000e-010	8.000000e-001	3.979717e-004
1.030761718750000e-010	8.000000e-001	1.036654e-004
1.051269531250000e-010	8.000000e-001	5.365750e-005
5.727050781250025e-010	8.000000e-001	5.610769e-005
1.000000000000000e-009	8.000000e-001	5.610723e-005
1.000205078125000e-009	7.983594e-001	-3.263717e-004
1.000615234375000e-009	7.950781e-001	-8.690319e-004
1.001435546875000e-009	7.885156e-001	-1.367749e-003
1.003076171875000e-009	7.753906e-001	-1.620710e-003
1.005126953125000e-009	7.589844e-001	-1.634329e-003
1.007177734375000e-009	7.425781e-001	-1.586202e-003
1.009228515625000e-009	7.261719e-001	-1.504331e-003
1.011279296875000e-009	7.097656e-001	-1.363408e-003
1.013330078125000e-009	6.933594e-001	-1.134566e-003
1.015380859375000e-009	6.769531e-001	-7.737557e-004
1.017431640625000e-009	6.605469e-001	-2.211081e-004
1.019482421875000e-009	6.441406e-001	6.115289e-004
1.021533203125000e-009	6.277344e-001	1.860171e-003
1.023583984375000e-009	6.113281e-001	3.711500e-003
1.025634765625000e-009	5.949219e-001	6.411657e-003
1.027685546875000e-009	5.785156e-001	1.029367e-002
1.029736328125000e-009	5.621094e-001	1.580451e-002
1.031787109375000e-009	5.457031e-001	2.354712e-002
1.033837890624999e-009	5.292969e-001	3.436391e-002
1.035888671874999e-009	5.128906e-001	4.946994e-002
1.037939453124999e-009	4.964844e-001	7.042864e-002
1.039990234374999e-009	4.800781e-001	9.855452e-002
1.042041015624999e-009	4.636719e-001	1.340376e-001
1.044091796874999e-009	4.472656e-001	1.758204e-001
1.046142578124999e-009	4.308594e-001	2.223249e-001
1.048193359374999e-009	4.144531e-001	2.721076e-001
1.050244140624999e-009	3.980469e-001	3.240448e-001
1.052294921874999e-009	3.816406e-001	3.773168e-001
1.054345703124999e-009	3.652344e-001	4.313722e-001
1.056396484374999e-009	3.488281e-001	4.858375e-001
1.058447265624999e-009	3.324219e-001	5.403557e-001
1.060498046874999e-009	3.160156e-001	5.943393e-001
1.062548828124999e-009	2.996094e-001	6.463725e-001
1.064599609374999e-009	2.832031e-001	6.933541e-001
1.066650390624999e-009	2.667969e-001	7.311213e-001
1.068701171874999e-009	2.503906e-001	7.573429e-001
1.070751953124999e-009	2.339844e-001	7.733461e-001
1.072802734374998e-009	2.175781e-001	7.825040e-001
1.074853515624998e-009	2.011719e-001	7.877715e-001
1.076904296874998e-009	1.847656e-001	7.909310e-001
1.078955078124998e-009	1.683594e-001	7.929389e-001
1.081005859374998e-009	1.519531e-001	7.942775e-001
